"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"74",8,"ABBA",15,1
"75",8,"ALIN2",10,688
"76",8,"PIGL",70,871
"77",8,"PIGL",75,1248
"78",8,"Shrub",5,40
"79",8,"SODE3",50,207
"80",8,"SODE3",55,548
"81",9,"ABBA",15,1
"82",9,"ALIN2",5,10
"83",9,"BEPA",45,131
"84",9,"PIGL",10,253
"85",9,"PIGL",35,147
"86",9,"PIGL",45,264
"87",9,"PIGL",50,338
"88",9,"PIGL",55,422
"89",9,"PIGL",60,517
"90",9,"PIGL",65,624
"91",9,"PIGL",70,742
"92",9,"Shrub",5,48
"93",9,"THOC2",55,179
"94",9,"THOC2",90,284
"95",10,"ABBA",15,1
"96",10,"BEPA",40,855
"97",10,"BEPA",45,948
"98",10,"BEPA",50,568
"99",10,"BEPA",60,343
"100",10,"PIGL",10,1
"101",10,"PIGL",45,264
"102",10,"PIST",35,83
"103",10,"PIST",40,338
"104",10,"PIST",45,291
"105",10,"PIST",50,1689
"106",10,"PIST",55,2423
"107",10,"PIST",60,781
"108",10,"Shrub",5,37
"109",10,"THOC2",35,10
"110",11,"ABBA",15,1
"111",11,"ACSP2",5,1
"112",11,"ACSP2",10,85
"113",11,"BEPA",50,223
"114",11,"BEPA",60,343
"115",11,"BEPA",75,1493
"116",11,"BEPA",90,1654
"117",11,"FRNI",50,127
"118",11,"FRNI",60,146
"119",11,"FRNI",65,409
"120",11,"PIGL",10,1
"121",11,"PIGL",30,102
"122",11,"Shrub",5,82
"123",11,"SODE3",55,567
"124",11,"THOC2",35,85
"125",11,"THOC2",55,89
"126",11,"THOC2",90,568
"127",11,"THOC2",105,710
"128",11,"THOC2",145,2251
"129",11,"THOC2",165,3399
"130",11,"THOC2",215,6510
"131",11,"THOC2",225,7466
"132",12,"BEPA",40,85
"133",12,"BEPA",60,440
"134",12,"POTR5",5,10
"135",12,"POTR5",40,204
"136",12,"POTR5",55,438
"137",12,"POTR5",60,594
"138",12,"POTR5",65,918
"139",12,"POTR5",75,2477
"140",12,"Shrub",5,11
"141",12,"SODE3",10,1
"142",13,"ABBA",15,1
"143",13,"ALIN2",5,85
"144",13,"BEPA",10,1
"145",13,"PIMA",40,212
"146",13,"PIMA",50,102
"147",13,"PIMA",80,338
"148",13,"Shrub",5,4
"149",13,"SODE3",5,1
"150",13,"THOC2",35,10
