#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1999-09-26T00:00:00Z,8.265812,457.7097,21.39415
1999-09-27T00:00:00Z,1.4111111,3.065134,1.7507525
1999-09-28T00:00:00Z,0,0,0
1999-09-29T00:00:00Z,0,0,0
1999-09-30T00:00:00Z,0.774359,0.67506633,0.8216242
1999-10-01T00:00:00Z,1.0641025,4.0079575,2.0019884
1999-10-02T00:00:00Z,0.25384617,4.888594,2.2110166
1999-10-03T00:00:00Z,0,0,0
1999-10-04T00:00:00Z,0.26324788,7.044798,2.6542038
1999-10-05T00:00:00Z,0.41282052,0.11273209,0.33575602
1999-10-06T00:00:00Z,0,0,0
1999-10-07T00:00:00Z,12.470941,338.05275,18.386211
1999-10-08T00:00:00Z,4.769231,16.232096,4.0289074
1999-10-09T00:00:00Z,0,0,0
1999-10-10T00:00:00Z,0,0,0
1999-10-11T00:00:00Z,0,0,0
1999-10-12T00:00:00Z,0.5923077,23.088859,4.805087
1999-10-13T00:00:00Z,0.13846155,3.600796,1.8975763
1999-10-14T00:00:00Z,2.265812,14.62349,3.824067
1999-10-15T00:00:00Z,2.4128206,5.733422,2.3944564
1999-10-16T00:00:00Z,3.3452992,165.66372,12.871041
1999-10-17T00:00:00Z,1.3239316,11.976717,3.4607393
1999-10-18T00:00:00Z,2.2811966,29.585028,5.4392123
1999-10-19T00:00:00Z,3.8299146,213.95285,14.627126
1999-10-20T00:00:00Z,0.31965813,17.67654,4.2043477
1999-10-21T00:00:00Z,0.82393163,18.011199,4.2439604
1999-10-22T00:00:00Z,4.026496,47.110227,6.863689
1999-10-23T00:00:00Z,0.01880342,0.56778663,0.7535162
1999-10-24T00:00:00Z,0,0,0
1999-10-25T00:00:00Z,0,0,0
1999-10-26T00:00:00Z,0,0,0
1999-10-27T00:00:00Z,0,0,0
1999-10-28T00:00:00Z,0,0,0
1999-10-29T00:00:00Z,4.44188,157.38344,12.545255
1999-10-30T00:00:00Z,6.557265,53.298557,7.300586
1999-10-31T00:00:00Z,0,0,0
1999-11-01T00:00:00Z,0,0,0
1999-11-02T00:00:00Z,0,0,0
1999-11-03T00:00:00Z,0,0,0
1999-11-04T00:00:00Z,0,0,0
1999-11-05T00:00:00Z,0,0,0
1999-11-06T00:00:00Z,0,0,0
1999-11-07T00:00:00Z,0,0,0
1999-11-08T00:00:00Z,0,0,0
1999-11-09T00:00:00Z,0,0,0
1999-11-10T00:00:00Z,0,0,0
1999-11-11T00:00:00Z,0.007692308,0.22679046,0.4762252
1999-11-12T00:00:00Z,0,0,0
1999-11-13T00:00:00Z,0,0,0
1999-11-14T00:00:00Z,0,0,0
1999-11-15T00:00:00Z,0,0,0
1999-11-16T00:00:00Z,0,0,0
1999-11-17T00:00:00Z,0.13333334,4.913793,2.2167078
1999-11-18T00:00:00Z,0.33675215,0.4068671,0.63786134
1999-11-19T00:00:00Z,1.7025641,21.680371,4.6562186
1999-11-20T00:00:00Z,0.23247863,2.8936045,1.7010598
1999-11-21T00:00:00Z,0.64188033,1.5041261,1.2264282
1999-11-22T00:00:00Z,2.9452991,20.129237,4.4865617
1999-11-23T00:00:00Z,18.75641,152.98939,12.368888
1999-11-24T00:00:00Z,2.113675,28.688034,5.356121
1999-11-25T00:00:00Z,0,0,0
1999-11-26T00:00:00Z,1.8435898,10.5583556,3.2493624
1999-11-27T00:00:00Z,0,0,0
1999-11-28T00:00:00Z,0.6264957,7.299882,2.7018294
1999-11-29T00:00:00Z,0,0,0
1999-11-30T00:00:00Z,0,0,0
1999-12-01T00:00:00Z,0,0,0
1999-12-02T00:00:00Z,0,0,0
1999-12-03T00:00:00Z,0.46923077,1.52519895,1.2349895
1999-12-04T00:00:00Z,0.10769231,2.7095491,1.6460708
1999-12-05T00:00:00Z,0,0,0
1999-12-06T00:00:00Z,0,0,0
1999-12-07T00:00:00Z,0,0,0
1999-12-08T00:00:00Z,0,0,0
1999-12-09T00:00:00Z,1.2564102,43.610078,6.603793
1999-12-10T00:00:00Z,0,0,0
1999-12-11T00:00:00Z,0,0,0
1999-12-12T00:00:00Z,0,0,0
1999-12-13T00:00:00Z,0,0,0
1999-12-14T00:00:00Z,2.0948718,13.187003,3.6313912
1999-12-15T00:00:00Z,7.78547,146.55629,12.106043
1999-12-16T00:00:00Z,0.8871795,4.923077,2.2188008
1999-12-17T00:00:00Z,0.35042736,2.131447,1.4599477
1999-12-18T00:00:00Z,0,0,0
1999-12-19T00:00:00Z,2.5982907,78.37902,8.8531923
1999-12-20T00:00:00Z,2.6880343,126.93384,11.266491
1999-12-21T00:00:00Z,1.8213675,9.876363,3.142668
1999-12-22T00:00:00Z,1.6290598,10.60448,3.256452
